"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81281","verify and validating the search results count","chromium","Fri Jan 17 17:28:51 IST 2025","failed","Fri Jan 17 17:30:12 IST 2025","Automation Of Youtube application","Youtube.spec.js","",""
"","15843","Validate search and select watch","firefox","Fri Jan 17 17:31:20 IST 2025","passed","Fri Jan 17 17:31:36 IST 2025","Automation Of Target application","Target.spec.js","",""
"","17586","Validating search input and filtering search results","firefox","Fri Jan 17 17:29:02 IST 2025","failed","Fri Jan 17 17:29:20 IST 2025","Booking Application Automation","Booking.spec.js","",""
"","13933","Validate the elements","chromium","Fri Jan 17 17:28:35 IST 2025","passed","Fri Jan 17 17:28:49 IST 2025","Automation Of Testim application","Testim.spec.js","",""
"","47515","verify and validating the search results count","firefox","Fri Jan 17 17:29:27 IST 2025","failed","Fri Jan 17 17:30:14 IST 2025","Automation Of Youtube application","Youtube.spec.js","",""
"","20911","Validate search and select watch","chromium","Fri Jan 17 17:28:35 IST 2025","passed","Fri Jan 17 17:28:56 IST 2025","Automation Of Target application","Target.spec.js","",""
"","7985","Validate the elements","firefox","Fri Jan 17 17:29:22 IST 2025","passed","Fri Jan 17 17:29:30 IST 2025","Automation Of Testim application","Testim.spec.js","",""
"","22384","Validating search input and filtering search results","chromium","Fri Jan 17 17:28:35 IST 2025","failed","Fri Jan 17 17:28:57 IST 2025","Booking Application Automation","Booking.spec.js","",""
